what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544440615763
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544440615935
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544440618212
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1544440622284
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544440622346
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1544440622409
opened,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544440635622
error,log,,,"WTF: null part?!?",1544440635622
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544440635700
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544440642907
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1544440645372
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544440645419
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1544440645450
opened,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544440662969
error,log,,,"WTF: null part?!?",1544440662969
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544440668070
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544440674482
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544440675730
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544440679084
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544440679349
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544440681455
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1544440681470
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544440699176
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544440700768
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544440703264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544440706337
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1544440706352
opened,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544440719098
error,log,,,"WTF: null part?!?",1544440719098
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544440719191
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544440720252
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544440720533
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544440722358
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544440723512
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544440728130
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544440728380
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544440728614
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544444890919
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544444891169
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544444892245
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1544444892276
opened,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544445048370
error,log,,,"WTF: null part?!?",1544445048370
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544445048464
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544445052052
opened,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544445052317
error,log,,,"WTF: null part?!?",1544445052317
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544445052379
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544445517494
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544445518898
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544445522939
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544445523141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544445563904
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1544445563920
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504732187
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544504735478
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544504735712
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504736336
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1544504736352
started,bundle,org.eclipse.pde.launching,3.6.0.v20100601,"org.eclipse.pde.launching",1544504738910
started,bundle,org.eclipse.ui.views.log,1.0.100.v20100423,"org.eclipse.ui.views.log",1544504738942
started,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1544504738957
started,bundle,org.eclipse.pde.core,3.6.1.v20100902_r361,"org.eclipse.pde.core",1544504739098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504739238
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1544504740845
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1544504758473
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1544504759409
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504759471
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1544504759518
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504766725
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504778300
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1544504778332
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504782575
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504788503
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1544504788534
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504788908
error,log,,,"Problems encountered during text search.",1544504797442
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504799189
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504802870
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504814998
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openFileSearchPage",1544504815018
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544504815258
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544504822351
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504829543
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1544504832522
started,bundle,org.eclipse.rse.subsystems.files.ftp,2.1.100.v200905272300,"org.eclipse.rse.subsystems.files.ftp",1544504838185
started,bundle,org.eclipse.rse.subsystems.files.dstore,2.1.101.v201008191400,"org.eclipse.rse.subsystems.files.dstore",1544504838216
started,bundle,org.eclipse.dstore.core,3.2.1.v201009071110,"org.eclipse.dstore.core",1544504838232
started,bundle,org.eclipse.rse.subsystems.files.ssh,2.1.100.v200905272300,"org.eclipse.rse.subsystems.files.ssh",1544504838248
started,bundle,org.eclipse.rse.services.ssh,3.0.1.v200909160005,"org.eclipse.rse.services.ssh",1544504838279
started,bundle,org.eclipse.rse.subsystems.processes.core,3.1.100.v201003010830,"org.eclipse.rse.subsystems.processes.core",1544504838341
started,bundle,org.eclipse.rse.subsystems.processes.dstore,2.1.100.v200905272300,"org.eclipse.rse.subsystems.processes.dstore",1544504838341
started,bundle,org.eclipse.rse.subsystems.processes.shell.linux,1.1.100.v200905272300,"org.eclipse.rse.subsystems.processes.shell.linux",1544504838372
started,bundle,org.eclipse.rse.subsystems.shells.dstore,2.1.201.v201008191400,"org.eclipse.rse.subsystems.shells.dstore",1544504838404
started,bundle,org.eclipse.rse.subsystems.shells.ssh,2.1.100.v200905272300,"org.eclipse.rse.subsystems.shells.ssh",1544504838435
started,bundle,org.eclipse.rse.subsystems.terminals.ssh,1.0.1.v200908051630,"org.eclipse.rse.subsystems.terminals.ssh",1544504838497
started,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.0.v200905272300,"org.eclipse.rse.subsystems.shells.telnet",1544504838560
started,bundle,org.eclipse.rse.services.telnet,2.0.0.v200905272300,"org.eclipse.rse.services.telnet",1544504838591
opened,view,org.eclipse.rse.ui,3.1.101.v201008191400,"org.eclipse.rse.ui.view.SystemSearchView",1544504850088
activated,view,org.eclipse.rse.ui,3.1.101.v201008191400,"org.eclipse.rse.ui.view.SystemSearchView",1544504850119
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504850275
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544504850291
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1544504850353
activated,view,org.eclipse.rse.ui,3.1.101.v201008191400,"org.eclipse.rse.ui.view.SystemSearchView",1544504854362
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544504857061
activated,view,org.eclipse.rse.ui,3.1.101.v201008191400,"org.eclipse.rse.ui.view.SystemSearchView",1544504858886
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544504865438
activated,view,org.eclipse.rse.ui,3.1.101.v201008191400,"org.eclipse.rse.ui.view.SystemSearchView",1544504865922
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544504906498
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544504913845
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544504914079
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544504915858
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544504916060
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544504917948
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504920272
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1544504923018
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1544504924718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504924781
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1544504924828
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504925264
error,log,,,"Problems encountered during text search.",1544504928743
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504929976
activated,view,org.eclipse.rse.ui,3.1.101.v201008191400,"org.eclipse.rse.ui.view.SystemSearchView",1544504968601
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544504971955
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544504972189
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504987727
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544504990831
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1544504990863
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1544504997789
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544505003296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544505008210
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544505008428
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544505039098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544505080188
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544505083418
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544505083698
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544505125522
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544505130264
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544505133681
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544505137659
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544505140030
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544505143540
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544505147300
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544505153586
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1544505157752
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544505158454
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544505289135
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1544505291444
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1544505352502
