what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1543079795988
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1543079799514
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1543079813247
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1543079813512
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1543079813699
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1543079813918
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1543079814167
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1543079817071
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1543079820771
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543079822175
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543079823985
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1543079825607
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1543079828230
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1543079829214
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543079837867
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543079839716
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1543079842558
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543079843431
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543079847269
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1543079847285
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1543079874122
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1543079879318
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1543079885077
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1543079897108
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543079915582
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543079953302
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1543079953333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543080055472
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1543080058295
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1543080060089
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1543080100446
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543080108483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543080145738
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543080155381
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543080166289
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1543080166335
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543080216059
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1543080217993
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1543080231493
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1543080236862
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1543080237688
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1543080250666
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543080254020
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543080277503
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1543080277516
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543080296425
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1543080304447
