what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1542646872312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542646874589
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1542646874667
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542646881204
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1542646882436
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542646884932
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542646885057
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1542646897776
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1542646898665
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542646901426
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1542646901504
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542646903719
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1542646914281
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1542646921586
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1542647746907
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1542647991362
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1542647993062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542648134534
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542648134675
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1542648200164
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1542648241435
