what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1542717563338
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717571976
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717577064
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717577805
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717582672
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1542717582687
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1542717586386
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1542717722292
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1542717727269
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717736909
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1542717736956
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1542717737518
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717743989
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1542717782767
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1542717784701
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1542717785621
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1542717800358
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717800483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717801748
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1542717801757
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1542717809346
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1542717811798
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1542717814435
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717819063
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717834280
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1542717843648
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1542717845318
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1542717847457
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717847597
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717848580
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1542717848674
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1542717849455
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1542717859293
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1542717859433
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1542717859573
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1542717860525
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1542717874116
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717874319
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717875868
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1542717875884
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717882596
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717887885
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717888415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717893048
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1542717893059
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1542717896364
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1542717915497
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1542717915513
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1542717925934
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1542717931570
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1542717934971
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1542717936126
activated,view,org.eclipse.wst.server.ui,1.1.208.v20110427_1739,"org.eclipse.wst.server.ui.ServersView",1542717949399
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717949586
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542717950890
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1542717950902
