what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629785543
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1542629785621
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1542629786261
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629788320
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629790563
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1542629791343
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1542629793012
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629793075
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1542629793121
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629793589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629795961
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1542629799081
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1542629803371
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629833934
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629848347
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629857103
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629868148
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1542629868164
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629878491
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629893295
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1542629893342
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629893841
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629895932
closed,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1542629921179
opened,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1542629921335
error,log,,,"WTF: null part?!?",1542629921335
activated,editor,org.eclipse.wst.xml.ui,1.1.104.v201103021532,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1542629921475
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1542629933737
opened,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1542629942740
activated,editor,org.eclipse.jst.jsp.ui,1.1.504.v201103231819,"org.eclipse.jst.jsp.core.jspsource.source",1542629942896
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1542629962427
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629963441
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629964440
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1542629964736
